Date, Volume(t-1), Open(t-1), High(t-1), Low(t-1), Volume(t-2), Open(t-2), High(t-2), Low(t-2), Volume(t-3), Open(t-3), High(t-3), Low(t-3),target(t)
04/13/2016,27150570,109.34,110.5,108.66,29357940,108.97,110.61,108.83,23553790,108.91,109.77,108.17,110.8
01/11/17,24432660,118.77,119.38,118.3,33420290,117.95,119.43,117.94,31714820,116.78,118.16,116.47,118.74
11/17/2016,58724080,106.7,110.23,106.6,32230590,106.57,107.68,106.16,50901380,107.71,107.81,104.08,109.81
11/27/2019,26334880,266.94,267.16,262.5,21029520,262.71,266.44,262.52,16331260,262.59,263.18,260.84,265.58
12/15/2015,64678220,112.18,112.68,109.79,46810020,115.19,115.39,112.85,29158640,116.04,116.94,115.51,111.94
06/28/2018,24987260,185.23,187.28,184.03,24378480,182.99,186.53,182.54,31632320,183.4,184.92,180.73,184.1
05/02/16,68388840,93.99,94.72,92.51,82107120,97.61,97.88,94.25,114436300,96.0,98.71,95.68,93.97
02/10/20,29421010,322.37,323.4,318.0,26356390,322.57,325.22,320.26,29706720,323.52,324.76,318.95,314.18
03/09/18,24518850,175.48,177.12,175.07,31686450,174.94,175.85,174.27,23273160,177.91,178.25,176.13,177.96
02/09/16,53920550,93.13,95.7,93.04,46315620,96.52,96.92,93.69,46418230,95.86,97.33,95.19,94.29
04/22/2020,45247890,276.28,277.25,265.43,32503750,277.95,281.68,276.85,53812480,284.69,286.95,276.86,273.61
11/29/2019,16386120,265.58,267.98,265.31,26334880,266.94,267.16,262.5,21029520,262.71,266.44,262.52,266.6
11/28/2018,41156140,171.51,174.77,170.88,44662320,174.24,174.95,170.26,23623970,174.94,176.6,172.1,176.73
09/11/19,31777930,213.86,216.78,211.71,27309400,214.84,216.44,211.07,19362290,214.05,214.42,212.51,218.07
10/19/2015,38794930,111.78,112.0,110.53,37622200,110.93,112.1,110.49,44434220,111.29,111.52,109.56,110.8
06/25/2020,48155850,365.0,368.79,358.52,53038870,364.0,372.38,362.27,33861320,351.34,359.46,351.15,360.7
06/27/2016,75219710,92.91,94.66,92.65,32042290,95.94,96.29,95.25,29124140,96.25,96.89,95.35,93.0
09/19/2018,31495630,217.79,221.85,217.12,36810120,222.15,222.95,217.27,31801970,225.75,226.84,222.52,218.5
07/08/19,17265520,203.35,205.08,202.9,11362050,203.28,204.44,202.69,16935220,201.41,203.13,201.36,200.81
12/13/2016,26176690,113.29,115.0,112.49,34324350,112.31,114.7,112.31,27049830,110.86,112.43,110.6,113.84
02/26/2016,27526040,96.05,96.76,95.25,36192150,93.98,96.38,93.32,31851180,96.4,96.5,94.55,97.2
01/06/17,22115100,115.92,116.86,115.81,21081620,115.85,116.51,115.75,28769220,115.8,116.33,114.76,116.78
10/21/2015,48929200,111.34,114.17,110.82,29723750,110.8,111.75,110.11,38794930,111.78,112.0,110.53,114.0
01/16/2018,25302200,176.18,177.36,175.65,18653380,174.59,175.49,174.49,23751690,173.16,174.3,173.0,177.9
02/25/2019,18890250,171.58,173.0,171.38,17154540,171.8,172.37,170.3,25323890,171.19,173.32,170.99,174.16
03/24/2016,25686350,106.48,107.07,105.9,32345430,105.25,107.29,105.21,35454230,105.93,107.65,105.14,105.47
06/24/2019,47800590,198.8,200.85,198.15,21513990,200.37,200.61,198.03,21124240,199.68,199.88,197.31,198.54
12/02/19,11654360,266.6,268.0,265.9,16386120,265.58,267.98,265.31,26334880,266.94,267.16,262.5,267.27
08/21/2018,30149410,218.1,219.18,215.11,35034410,213.44,217.95,213.16,27595310,211.75,213.81,211.47,216.8
12/19/2017,29385650,174.88,177.2,174.86,40122100,173.63,174.17,172.46,20442740,172.4,173.13,171.65,175.03
07/29/2015,33570380,123.38,123.91,122.55,44371580,123.09,123.61,122.12,42090320,125.32,125.74,123.9,123.15
10/26/2015,59251740,116.7,119.23,116.33,41430660,114.33,115.5,114.1,42276880,114.0,115.58,113.7,118.08
05/01/18,41976500,162.13,167.26,161.84,35617230,164.0,164.33,160.63,27850370,164.12,165.73,163.37,166.41
10/27/2016,66028640,114.31,115.7,113.31,46820600,117.95,118.36,117.31,23492650,117.1,117.74,117.0,115.39
07/30/2018,23975350,194.99,195.19,190.1,19005150,194.61,195.96,193.61,16553500,193.06,194.85,192.43,191.9
01/08/16,80742460,98.68,100.13,96.43,68384270,100.56,102.37,99.87,55583140,105.75,105.85,102.41,98.55
12/06/19,18661340,263.79,265.89,262.73,16810390,261.07,263.31,260.68,29377270,258.31,259.53,256.29,267.48
11/29/2018,45941750,176.73,181.29,174.93,41156140,171.51,174.77,170.88,44662320,174.24,174.95,170.26,182.66
09/21/2016,34494150,113.05,114.12,112.51,46937190,115.19,116.18,113.25,79763890,115.12,116.13,114.04,113.85
11/02/15,49305220,120.99,121.22,119.45,51106100,118.7,120.69,118.27,85436210,116.93,119.3,116.06,119.87
11/21/2017,16041550,170.29,170.56,169.56,21884010,171.04,171.39,169.64,23598650,171.18,171.87,170.3,170.78
09/04/18,43177540,226.51,228.87,226.0,48696960,223.25,228.26,222.4,27074260,220.15,223.49,219.41,228.41
10/10/19,19029420,227.03,227.79,225.64,29282700,225.82,228.06,224.33,30889270,226.27,229.93,225.84,227.93
02/06/18,72215320,159.1,163.88,156.0,85957050,166.0,166.8,160.1,44453230,167.17,168.62,166.76,154.83
12/11/19,22632380,268.6,270.07,265.86,32182650,270.0,270.8,264.91,26547490,267.48,271.0,267.3,268.81
07/13/2017,24833800,145.87,146.18,144.82,18647220,144.73,145.85,144.38,21080580,144.11,145.95,143.37,145.5
08/12/16,27460070,108.52,108.93,107.85,23839880,108.71,108.9,107.76,26296260,108.23,108.94,108.01,107.78
09/25/2019,31434370,221.03,222.49,217.19,19419650,218.95,219.84,217.65,57977090,221.38,222.56,217.47,218.55
01/03/17,30555900,116.65,117.2,115.43,14979680,116.45,117.11,116.4,20686510,117.52,118.02,116.2,115.8
05/30/2019,28481170,176.42,179.35,176.0,27948160,178.92,180.59,177.91,23714690,180.2,182.14,178.62,177.95
05/09/19,26339500,201.9,205.34,201.75,38763700,205.88,207.42,200.83,32443110,204.29,208.84,203.5,200.4
12/28/2015,13596680,109.0,109.0,107.95,32618140,107.27,108.85,107.2,32728460,107.4,107.72,106.45,107.59
12/03/18,39424260,180.29,180.33,177.03,41523580,182.66,182.8,177.7,45941750,176.73,181.29,174.93,184.46
01/13/2020,35217270,310.6,312.67,308.25,42621540,307.24,310.43,306.2,33090950,297.16,304.44,297.16,311.64
09/18/2019,18386470,219.96,220.82,219.12,21158140,217.73,220.13,217.56,39763300,220.0,220.79,217.02,221.06
03/14/2017,17048800,138.85,139.43,138.82,19578920,139.25,139.36,138.64,22117750,138.74,138.79,137.05,139.3
07/17/2019,16866820,204.59,206.11,203.5,16947420,204.09,205.87,204.0,17595210,202.45,204.0,202.2,204.05
10/12/15,52720620,110.0,112.28,109.49,61747260,110.19,110.19,108.21,46717770,111.74,111.77,109.41,112.73
10/28/2015,67673450,115.4,116.54,113.99,66139770,118.08,118.13,114.92,59251740,116.7,119.23,116.33,116.93
12/27/2018,58133850,148.3,157.23,146.72,37169230,148.15,151.55,146.59,95497900,156.86,158.16,149.63,155.84
02/14/2017,22989980,133.08,133.82,132.75,20046250,132.46,132.94,132.05,28321440,131.65,132.45,131.12,133.47
08/23/2019,22267820,213.19,214.44,210.75,21564750,212.99,213.65,211.6,26919530,210.88,213.35,210.32,209.43
12/18/2017,40122100,173.63,174.17,172.46,20442740,172.4,173.13,171.65,23402510,172.5,173.54,172.0,174.88
07/07/20,29663910,370.0,375.78,369.87,28510370,367.85,370.47,363.64,27684310,365.12,367.36,363.91,375.41
01/28/2020,40485010,310.06,311.77,304.88,36634380,320.25,323.33,317.52,26117990,317.92,319.56,315.65,312.6
09/27/2017,35907770,151.78,153.92,151.69,44366140,149.99,151.83,149.16,46575410,152.02,152.27,150.56,153.8
09/26/2016,52411070,114.42,114.79,111.55,31048170,114.35,114.94,114.0,35951900,113.85,113.99,112.44,111.64
10/07/15,48702200,110.63,111.74,109.77,52033100,109.88,111.37,109.07,57774940,108.01,111.01,107.55,111.74
10/04/18,28540490,230.05,233.47,229.78,24435010,227.25,230.0,226.63,23171020,227.95,229.42,226.35,230.78
11/15/2017,24683350,173.04,173.48,171.18,16956290,173.5,174.5,173.4,25129510,175.11,175.38,174.27,169.97
12/16/2015,53168580,111.94,112.8,110.35,64678220,112.18,112.68,109.79,46810020,115.19,115.39,112.85,111.07
04/04/19,23243160,193.25,196.5,193.15,22727370,191.09,194.46,191.05,27308200,191.64,191.68,188.38,194.79
12/07/17,28397810,167.5,170.2,166.46,27315530,169.06,171.52,168.4,32512580,172.48,172.62,169.63,169.03
09/12/17,31506890,160.5,162.05,159.89,28411740,160.86,161.15,158.53,21905160,162.09,162.24,160.36,162.61
08/25/2016,23606240,108.57,108.75,107.68,21236850,108.59,109.32,108.53,25784420,108.86,109.1,107.85,107.39
01/09/18,20523870,174.35,175.61,173.93,23589930,173.44,175.37,173.05,22342650,172.54,173.47,172.08,174.55
01/02/18,25938760,170.52,170.59,169.22,16412270,171.0,171.85,170.48,21477380,170.1,170.78,169.71,170.16
08/26/2015,102731700,111.11,111.11,103.5,161882500,94.87,108.8,92.0,127246600,110.43,111.9,105.65,107.09
12/01/15,38063130,117.99,119.41,117.75,13046450,118.29,118.41,117.6,21341960,119.21,119.23,117.92,118.75
05/10/17,38907940,153.87,154.88,153.45,48670440,149.03,153.7,149.03,27254850,146.76,148.98,146.76,153.63
12/12/17,34260890,169.2,172.89,168.79,23285760,170.49,171.0,168.82,25656110,169.03,170.44,168.91,172.15
06/29/2016,40387960,92.9,93.66,92.14,45595680,93.0,93.05,91.5,75219710,92.91,94.66,92.65,93.97
04/23/2018,65270950,170.6,171.22,165.43,34693280,174.95,175.39,172.66,20544600,177.81,178.82,176.88,166.84
10/20/2017,42357420,156.75,157.08,155.02,16252850,160.42,160.71,159.6,18969700,159.78,160.87,159.23,156.61
03/22/2018,36387880,175.04,175.09,171.26,19620520,175.24,176.8,174.94,32931110,177.32,177.47,173.66,170.0
02/10/16,44282560,94.29,95.94,93.93,53920550,93.13,95.7,93.04,46315620,96.52,96.92,93.69,95.92
06/07/18,20912820,193.63,194.08,191.92,21535570,193.07,193.94,192.36,26190620,191.64,193.42,191.35,194.14
04/22/2016,31416910,106.93,106.93,105.52,30576980,106.64,108.09,106.06,32340620,107.88,108.0,106.23,105.01
05/15/2018,20393070,189.01,189.53,187.86,26167950,189.49,190.06,187.45,27942430,187.74,190.37,187.65,186.78
07/18/2017,23765710,148.82,150.9,148.57,20117070,147.97,149.33,147.33,25080500,145.5,148.49,145.44,149.2
11/25/2015,42747950,117.33,119.35,117.12,32445680,119.27,119.73,117.34,34135230,119.2,119.92,118.85,119.21
08/03/18,62317430,200.58,208.38,200.35,67812280,199.13,201.76,197.31,37847260,190.3,192.14,189.34,207.03
02/21/2020,25141490,322.63,324.65,318.21,23495990,320.0,324.57,320.0,38190550,315.36,319.75,314.61,318.62
06/17/2016,31251870,96.45,97.75,96.07,29373050,97.82,98.41,97.03,31890740,97.32,98.48,96.75,96.62
04/12/18,22401040,172.23,173.92,171.7,28567110,173.0,174.0,171.53,28976200,169.88,173.09,169.85,173.41
07/26/2017,18798250,151.8,153.84,151.8,21466370,150.58,152.44,149.9,25111310,149.99,150.44,148.88,153.35
02/01/17,47767760,121.15,121.39,120.62,30327110,120.93,121.63,120.66,20495340,122.14,122.35,121.6,127.03
12/20/2016,27756760,115.8,117.38,115.75,44284660,116.47,116.5,115.65,46286150,115.38,116.73,115.23,116.74
05/23/2016,31834020,94.64,95.43,94.52,30417880,94.64,94.64,93.57,42009830,94.16,95.21,93.89,95.87
09/12/19,44289650,218.07,223.71,217.73,31777930,213.86,216.78,211.71,27309400,214.84,216.44,211.07,224.8
12/14/2018,31754210,170.49,172.57,169.55,35474680,170.4,171.92,169.02,45968040,171.66,171.79,167.0,169.0
05/11/17,25779060,153.63,153.94,152.11,38907940,153.87,154.88,153.45,48670440,149.03,153.7,149.03,152.45
01/23/2017,29922650,120.45,120.45,119.73,25554290,119.4,120.09,119.37,23687350,120.0,120.5,119.71,120.0
12/07/18,42704910,171.76,174.78,170.42,41141250,180.95,182.39,176.27,40537700,184.46,184.94,181.21,173.49
06/21/2017,24877950,146.87,146.87,144.94,32203640,143.66,146.74,143.66,50264540,143.78,144.5,142.2,145.52
12/10/15,46301930,117.64,117.69,115.08,34275420,117.52,118.6,116.86,32063100,118.98,119.86,117.81,116.04
06/07/16,23265200,97.99,101.89,97.55,28487570,97.79,98.27,97.45,40170200,97.6,97.84,96.63,99.25
12/15/2017,20442740,172.4,173.13,171.65,23402510,172.5,173.54,172.0,19088170,172.15,172.39,171.46,173.63
01/31/2018,45635470,165.53,167.37,164.7,50565420,170.16,170.16,167.07,39075250,172.0,172.0,170.06,166.87
09/13/2016,45114590,102.65,105.72,102.53,46461610,104.64,105.72,103.13,52955310,107.25,107.27,105.24,107.51
08/18/2017,27377960,160.52,160.71,157.84,27607370,161.94,162.51,160.15,29377630,160.66,162.2,160.14,157.86
10/18/2017,18969700,159.78,160.87,159.23,24093300,157.9,160.0,157.65,16367780,156.73,157.28,156.41,160.42
02/18/2020,20028450,324.74,325.98,322.85,23686890,324.19,326.22,323.35,28432570,321.47,327.22,321.47,315.36
04/27/2017,19998050,144.47,144.6,143.38,18325720,143.91,144.9,143.87,17117710,143.5,143.95,143.18,143.92
11/23/2018,31096240,179.73,180.27,176.55,67678680,178.37,181.47,175.51,41626820,190.0,190.7,184.99,174.94
07/10/18,19636390,189.5,190.68,189.3,17426160,185.42,188.43,185.2,16543880,185.26,186.41,184.28,190.71
04/06/16,26560420,109.51,110.73,109.42,37322930,110.42,112.19,110.27,25820460,108.78,110.0,108.2,110.23
04/27/2016,52979780,103.91,105.3,103.91,27997990,105.0,105.65,104.51,33655810,105.01,106.48,104.62,96.0
10/26/2016,46820600,117.95,118.36,117.31,23492650,117.1,117.74,117.0,22527690,116.81,116.91,116.28,114.31
06/02/17,16383610,153.17,153.33,152.22,24452750,153.97,154.17,152.38,20118620,153.42,154.43,153.33,153.58
09/20/2019,22187880,222.01,223.76,220.37,25643090,221.06,222.85,219.44,18386470,219.96,220.82,219.12,221.38
12/24/2019,24677880,280.53,284.25,280.37,69032740,282.23,282.65,278.56,24626950,279.5,281.18,278.95,284.69
05/04/16,56770080,94.2,95.74,93.68,47844490,93.97,94.08,92.4,68388840,93.99,94.72,92.51,95.2
05/11/20,33511990,305.64,310.35,304.29,28803760,303.22,305.17,301.97,35583440,300.46,303.24,298.87,308.1
06/22/2016,35407050,94.94,96.35,94.68,34355970,96.0,96.57,95.03,60793260,96.62,96.65,95.3,96.25
08/08/19,33364400,195.41,199.56,193.82,35824790,196.31,198.07,194.04,52392970,197.99,198.65,192.58,200.2
01/07/19,57423650,144.53,148.55,143.8,91106840,143.98,145.72,142.0,35637070,154.89,158.85,154.23,148.7
05/16/2019,26544720,186.27,191.75,186.02,36529680,186.41,189.7,185.41,57430620,187.71,189.48,182.85,189.91
11/06/18,66072170,204.3,204.39,198.17,91046560,209.55,213.65,205.43,52954070,219.05,222.36,216.81,201.92
12/17/2018,40620360,169.0,169.08,165.28,31754210,170.49,172.57,169.55,35474680,170.4,171.92,169.02,165.45
03/01/18,37568080,179.26,180.62,178.05,38885510,179.1,180.48,178.16,37353670,176.35,179.39,176.21,178.54
11/23/2015,34135230,119.2,119.92,118.85,43233950,117.64,119.75,116.76,46559730,115.76,117.49,115.5,119.27
03/15/2016,25058280,101.91,102.91,101.78,27368840,102.24,102.28,101.5,33490630,101.41,102.24,100.15,103.96
12/08/17,25656110,169.03,170.44,168.91,28397810,167.5,170.2,166.46,27315530,169.06,171.52,168.4,170.49
12/08/15,32063100,118.98,119.86,117.81,57717870,115.29,119.25,115.11,41511380,116.55,116.79,114.22,117.52
06/13/2018,16859020,191.39,192.61,191.15,18069930,191.35,191.97,190.21,26580710,191.17,192.0,189.77,192.42
04/06/20,32470020,242.8,245.7,238.97,41483490,240.34,245.15,236.9,44054640,246.5,248.72,239.13,250.9
06/17/2020,41357180,351.46,353.2,344.72,34702230,333.25,345.68,332.58,50036510,344.72,347.8,334.22,355.15
04/15/2016,25364920,111.62,112.39,111.33,32771760,110.8,112.34,110.8,27150570,109.34,110.5,108.66,112.11
07/24/2018,15955820,190.68,191.96,189.56,20670830,191.78,192.43,190.17,20182050,189.69,192.55,189.69,192.45
01/04/19,91106840,143.98,145.72,142.0,35637070,154.89,158.85,154.23,34499390,158.53,159.36,156.48,144.53
10/09/19,29282700,225.82,228.06,224.33,30889270,226.27,229.93,225.84,34755550,225.64,227.49,223.89,227.03
06/26/2017,35421310,145.13,147.16,145.11,19082170,145.77,146.7,145.12,21247590,145.52,146.07,144.61,147.17
08/28/2019,25897340,207.86,208.55,203.53,26066130,205.86,207.19,205.06,46882840,209.43,212.05,201.0,204.1
05/16/2017,25912270,156.01,156.65,155.05,32493770,154.7,156.42,154.67,27236290,152.45,154.07,152.31,155.94
03/30/2016,31154910,104.89,107.79,104.88,19354440,106.0,106.19,105.06,25568350,105.47,106.25,104.89,108.65
01/10/17,33420290,117.95,119.43,117.94,31714820,116.78,118.16,116.47,22115100,115.92,116.86,115.81,118.77
03/07/19,20755140,174.67,175.49,173.94,19238480,175.94,176.0,174.54,27413060,175.69,177.75,173.97,173.87
08/28/2017,25184600,159.65,160.56,159.27,19782170,160.43,160.74,158.55,19376940,159.07,160.47,158.88,160.14
05/07/19,32443110,204.29,208.84,203.5,20892380,210.89,211.84,210.23,31996320,209.84,212.65,208.13,205.88
06/23/2016,29124140,96.25,96.89,95.35,35407050,94.94,96.35,94.68,34355970,96.0,96.57,95.03,95.94
09/14/2018,41411350,223.52,228.35,222.57,49118510,224.94,225.0,219.84,35644510,218.01,224.3,216.56,225.75
04/11/17,18904680,143.6,143.88,142.9,16658660,143.73,144.18,143.27,21131040,144.29,144.52,143.45,142.94
06/13/2019,18253190,193.95,195.97,193.39,26932880,194.86,196.0,193.6,26220850,191.81,195.37,191.62,194.7
07/25/2016,28218240,99.26,99.3,98.31,32690080,99.83,101.0,99.13,26219110,100.0,100.46,99.74,98.25
09/19/2019,25643090,221.06,222.85,219.44,18386470,219.96,220.82,219.12,21158140,217.73,220.13,217.56,222.01
11/14/2019,25817590,261.13,264.78,261.07,21847230,261.55,262.79,260.92,20507460,258.3,262.47,258.28,263.75
08/14/2017,26208970,156.6,158.57,156.07,39636190,159.9,160.0,154.63,26060430,159.26,161.27,159.11,159.32
11/30/2018,41523580,182.66,182.8,177.7,45941750,176.73,181.29,174.93,41156140,171.51,174.77,170.88,180.29
09/21/2017,52126240,157.9,158.26,153.83,20565620,159.51,159.77,158.44,28157630,160.11,160.5,158.0,155.8
01/12/16,49687870,98.97,99.06,97.34,70722000,98.55,99.11,96.76,80742460,98.68,100.13,96.43,100.55
04/10/18,28976200,169.88,173.09,169.85,34949690,170.97,172.48,168.2,26750260,172.58,174.23,172.08,173.0
06/16/2016,29373050,97.82,98.41,97.03,31890740,97.32,98.48,96.75,37708360,98.69,99.12,97.1,96.45
06/10/16,26575570,98.5,99.99,98.46,20839950,99.02,99.56,98.68,22378380,99.25,99.87,98.96,98.53
02/18/2016,44811800,96.67,98.21,96.15,48032600,95.02,96.85,94.61,40323020,94.19,94.5,93.01,98.84
09/13/2019,32226670,224.8,226.42,222.86,44289650,218.07,223.71,217.73,31777930,213.86,216.78,211.71,220.0
05/19/2020,33843130,313.17,316.5,310.32,41587090,300.35,307.9,300.21,39732270,304.51,309.79,301.53,315.03
06/08/17,21017560,155.02,155.98,154.48,26591850,153.9,155.81,153.78,25277680,154.34,154.45,153.46,155.25
06/29/2018,17352380,184.1,186.21,183.8,24987260,185.23,187.28,184.03,24378480,182.99,186.53,182.54,186.29
08/07/15,52828890,115.97,116.5,114.12,99202400,112.95,117.44,112.1,123601900,117.42,117.7,113.25,114.58
02/27/2020,49678430,286.53,297.88,286.5,57668360,300.95,302.53,286.13,55548830,297.26,304.18,289.23,281.1
12/12/16,34324350,112.31,114.7,112.31,27049830,110.86,112.43,110.6,29976030,109.26,111.19,109.16,113.29
04/11/18,28567110,173.0,174.0,171.53,28976200,169.88,173.09,169.85,34949690,170.97,172.48,168.2,172.23
06/07/17,26591850,153.9,155.81,153.78,25277680,154.34,154.45,153.46,27715140,153.58,155.45,152.89,155.02
07/24/2019,18355210,208.46,208.91,207.29,22277930,203.65,207.23,203.61,20929310,205.79,206.5,202.36,207.67
06/18/2020,28601630,355.15,355.4,351.09,41357180,351.46,353.2,344.72,34702230,333.25,345.68,332.58,351.41
04/08/19,18473070,196.45,197.1,195.93,19090050,194.79,196.37,193.14,23243160,193.25,196.5,193.15,196.42
02/16/2018,50908540,169.79,173.09,169.0,40382890,163.05,167.54,162.88,32483310,161.95,164.75,161.65,172.36
12/21/2018,64398230,160.4,162.11,155.3,47597670,166.0,167.45,159.09,33753490,165.38,167.53,164.39,156.86
11/07/19,18966120,256.77,257.49,255.37,19974430,257.05,258.19,256.32,25817950,257.33,257.85,255.38,258.74
03/07/17,21229890,139.37,139.77,138.6,21555370,138.78,139.83,138.59,26170690,140.0,140.28,138.76,139.06
06/09/20,23913630,330.25,333.6,327.32,34312550,323.35,331.75,323.23,21890090,324.39,325.62,320.78,332.14
12/11/17,23285760,170.49,171.0,168.82,25656110,169.03,170.44,168.91,28397810,167.5,170.2,166.46,169.2
12/04/15,41511380,116.55,116.79,114.22,33316990,117.05,118.11,116.08,34806250,118.75,118.81,116.86,115.29
03/20/2017,43700570,141.0,141.0,139.89,19173780,140.72,141.02,140.26,25676720,139.41,140.75,139.03,140.4
04/13/2018,22858840,173.41,175.0,173.04,22401040,172.23,173.92,171.7,28567110,173.0,174.0,171.53,174.78
08/27/2015,96531890,107.09,109.89,105.05,102731700,111.11,111.11,103.5,161882500,94.87,108.8,92.0,112.23
10/13/2017,16380570,156.35,157.37,155.73,16861450,155.97,156.98,155.75,15603520,156.06,158.0,155.1,156.73
09/16/2016,90398170,113.86,115.73,113.49,111186900,108.73,113.03,108.6,62080160,107.51,108.79,107.24,115.12
10/07/19,34755550,225.64,227.49,223.89,30352690,218.43,220.96,215.13,35767260,223.06,223.58,217.93,226.27
08/22/2016,25108890,108.77,109.69,108.36,21918340,109.23,109.6,109.02,25328680,109.1,109.37,108.34,108.86
09/26/2017,44366140,149.99,151.83,149.16,46575410,152.02,152.27,150.56,37350060,155.8,155.8,152.75,151.78
06/27/2018,24378480,182.99,186.53,182.54,31632320,183.4,184.92,180.73,27185130,186.12,186.15,184.7,185.23
03/21/2016,43607120,106.34,106.5,105.19,34394830,105.52,106.47,104.96,38236730,104.61,106.31,104.59,105.93
08/17/2018,27595310,211.75,213.81,211.47,28595230,209.22,210.74,208.33,20679270,210.16,210.56,208.26,213.44
02/10/17,28321440,131.65,132.45,131.12,22941650,131.35,132.22,131.22,38158410,130.54,132.09,130.45,132.46
07/19/2017,17837130,149.2,150.13,148.67,23765710,148.82,150.9,148.57,20117070,147.97,149.33,147.33,150.48
07/09/19,25338630,200.81,201.4,198.41,17265520,203.35,205.08,202.9,11362050,203.28,204.44,202.69,199.2
06/08/20,34312550,323.35,331.75,323.23,21890090,324.39,325.62,320.78,26122800,324.66,326.2,322.3,330.25
09/10/18,37418910,221.85,225.37,220.71,34121240,226.23,227.35,221.3,33290830,228.99,229.67,225.1,220.95
10/22/2015,42276880,114.0,115.58,113.7,48929200,111.34,114.17,110.82,29723750,110.8,111.75,110.11,114.33
06/04/19,40396070,175.6,177.92,170.27,27043580,176.23,177.99,174.99,21218410,177.95,179.23,176.67,175.44
09/20/2016,46937190,115.19,116.18,113.25,79763890,115.12,116.13,114.04,90398170,113.86,115.73,113.49,113.05
09/09/15,54507300,111.65,112.56,110.32,49904460,108.97,110.45,108.51,53142590,112.49,112.78,110.04,113.76
12/26/2018,37169230,148.15,151.55,146.59,95497900,156.86,158.16,149.63,64398230,160.4,162.11,155.3,148.3
04/26/2017,18325720,143.91,144.9,143.87,17117710,143.5,143.95,143.18,17290900,142.44,142.68,141.85,144.47
02/27/2019,16991610,173.71,175.3,173.17,21846400,174.16,175.87,173.95,18890250,171.58,173.0,171.38,173.21
06/16/2017,31642900,143.32,144.48,142.21,31454590,147.5,147.5,143.84,34089190,147.16,147.45,145.15,143.78
12/31/2019,36059610,289.46,292.69,285.22,36592940,291.12,293.97,288.12,23334000,284.82,289.98,284.7,289.93
01/20/2017,25554290,119.4,120.09,119.37,23687350,120.0,120.5,119.71,34412090,118.34,120.24,118.22,120.45
01/21/2016,72274300,95.1,98.19,93.42,52960810,98.41,98.65,95.5,79356010,96.2,97.71,95.36,97.06
03/04/20,79868850,303.67,304.0,285.8,85349340,282.28,301.44,277.72,106721200,257.26,278.41,256.37,296.44
03/18/2019,39017490,184.85,187.33,183.74,23527660,183.9,184.1,182.56,30929740,182.25,183.3,180.92,185.8
08/06/15,99202400,112.95,117.44,112.1,123601900,117.42,117.7,113.25,69639900,121.5,122.57,117.52,115.97
08/29/2018,22751390,219.01,220.54,218.92,20400770,217.15,218.74,216.33,18457720,216.6,216.9,215.11,220.15
01/14/2020,30521720,311.64,317.07,311.15,35217270,310.6,312.67,308.25,42621540,307.24,310.43,306.2,316.7
05/13/2016,76183460,92.72,92.78,89.47,28641180,93.48,93.57,92.46,33653020,93.33,93.57,92.11,90.0
03/02/16,50303500,97.65,100.77,97.42,35131460,96.86,98.23,96.65,28949760,97.2,98.02,96.58,100.51
01/11/16,70722000,98.55,99.11,96.76,80742460,98.68,100.13,96.43,68384270,100.56,102.37,99.87,98.97
02/06/17,24460160,128.31,129.19,128.16,33671250,127.98,129.39,127.78,111837300,127.03,130.49,127.01,129.13
01/15/2016,63000140,97.96,100.48,95.74,62285770,100.32,101.19,97.3,49046150,100.55,100.69,98.84,96.2
